State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State Code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
,03/01/2022,,,,,,,,,,,,,,,,,
,03/01/2022,,,,Dimapur,Nagaland,NL,3,Hospitalized,,,https://twitter.com/HealthNagaland/status/1477982577726083076?s=20,,,,,,
,03/01/2022,,,,Kohima,Nagaland,NL,1,Hospitalized,,,https://twitter.com/HealthNagaland/status/1477982577726083076?s=20,,,,,,
,03/01/2022,,,,Dimapur,Nagaland,NL,3,Recovered,,,https://twitter.com/HealthNagaland/status/1477982577726083076?s=20,,,,,,
,03/01/2022,,,,Dimapur,Nagaland,NL,1,Migrated_Other,,,https://twitter.com/HealthNagaland/status/1477982577726083076?s=20,,,,,,
,03/01/2022,,,,Anantapur,Andhra Pradesh,AP,4,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Chittoor,Andhra Pradesh,AP,13,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,East Godavari,Andhra Pradesh,AP,8,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Guntur,Andhra Pradesh,AP,10,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Krishna,Andhra Pradesh,AP,19,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Kurnool,Andhra Pradesh,AP,9,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,S.P.S. Nellore,Andhra Pradesh,AP,10,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Prakasam,Andhra Pradesh,AP,2,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Srikakulam,Andhra Pradesh,AP,6,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Visakhapatnam,Andhra Pradesh,AP,41,Hospitalized,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Anantapur,Andhra Pradesh,AP,5,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Chittoor,Andhra Pradesh,AP,18,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,East Godavari,Andhra Pradesh,AP,15,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Guntur,Andhra Pradesh,AP,16,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Y.S.R. Kadapa,Andhra Pradesh,AP,3,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Krishna,Andhra Pradesh,AP,15,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Kurnool,Andhra Pradesh,AP,1,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,S.P.S. Nellore,Andhra Pradesh,AP,9,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Prakasam,Andhra Pradesh,AP,5,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
,03/01/2022,,,,Srikakulam,Andhra Pradesh,AP,6,Recovered,,,https://pbs.twimg.com/media/FILN-fXUcAAj0DB.png,,,,,,
